annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2021-2022,8,15,Laurentides,Total régional,Total régional,,112993,17640,7619,12.110066096,85925,3.7321961821,75027,6372,2817,6.3110584597,48253,4.6589115703,37966,13608,4971,23.569849741,37672,2.545192635,11268,4802
2021-2022,8,13,Laval,Total régional,Total régional,,55756,8940,3498,8.273610578,42666,2.8768544495,37066,2739,1042,4.9177766237,24032,3.6700023233,18690,3029,191,14.92889904,18634,1.8539431207,6201,2456
2021-2022,8,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,148352,23402,8108,6.7461251505,115997,2.8798484372,98862,7810,2901,4.3208025525,67303,3.5258142488,49490,5548,193,11.590987601,48694,1.9870189916,15592,5207
2021-2022,8,06,Montréal,Total régional,Total régional,,514787,69303,38041,10.249200429,436473,2.5528096182,324345,19192,14342,5.544304709,247980,3.2228305733,190442,48795,13418,18.262188122,188493,1.6713349936,50111,23699
2021-2022,8,16,Montérégie,Total régional,Total régional,,228432,37516,14648,10.56639638,167020,3.1958865439,152590,13019,6295,5.2367845643,91569,3.8559943807,75842,23573,7835,21.289286953,75451,2.394765094,24497,8353
2021-2022,8,07,Outaouais,Total régional,Total régional,,84989,10974,5472,8.005325127,65728,2.3408936662,62413,5129,2454,3.8482002503,43516,2.3458892323,22576,5679,2346,19.49800031,22212,2.3311067466,5845,3018
2021-2022,8,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,103380,15168,5163,5.8651784275,88388,2.3524153951,70608,6272,1903,3.4759854525,56134,2.6470040488,32772,3108,331,11.01274762,32254,1.8397211715,8896,3260
2022-2023,8,08,Abitibi-Témiscamingue,Total régional,Total régional,,69606,7615,3801,6.0117023955,57867,2.9255767248,57497,4161,2763,4.6968886686,45870,3.2117459245,12109,1518,224,12.254814532,11997,1.8314214202,3454,1038
2022-2023,8,01,Bas-Saint-Laurent,Total régional,Total régional,,86966,13758,3166,4.3313062672,74580,1.9267517468,65667,6640,1916,3.1481276153,53626,2.1010803269,21299,553,24,7.9791673188,20954,1.4806056918,7118,1250
2022-2023,8,03,Capitale-Nationale,Total régional,Total régional,,239331,37334,12767,7.3345995376,194288,1.9629496589,161297,14621,4626,3.7335035921,116677,2.4443680012,78034,13596,3327,14.778098176,77611,1.239206273,22713,8141
2022-2023,8,12,Chaudière-Appalaches,Total régional,Total régional,,149234,22452,6229,6.0998569379,127620,1.7395088675,115856,10459,3292,3.3417522159,94281,2.033244786,33378,7312,1313,15.673317921,33339,0.9088385974,11993,2937
2022-2023,8,09,Côte-Nord,Total régional,Total régional,,62861,6920,3139,6.4516127603,50013,2.8155001311,49998,3898,2033,4.4070100304,37456,2.9492596424,12863,2114,796,14.398907115,12557,2.4165118172,3022,1106
2022-2023,8,05,Estrie,Total régional,Total régional,,147916,22197,7765,8.6526170916,119357,3.30039956,97067,7550,2633,5.3142492471,68799,4.2880109005,50849,10057,2343,15.025315701,50558,1.9564644237,14647,5132
2022-2023,8,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,62555,9880,2461,5.425515684,54838,1.9569813765,50976,6063,1670,3.4846327684,43492,2.0972261374,11579,1868,606,13.970160948,11346,1.4193888203,3817,791
2022-2023,8,14,Lanaudière,Total régional,Total régional,,90138,14699,5377,10.747246139,63405,3.960454972,61201,4735,2904,6.3142772858,34607,5.0124088495,28937,9467,2167,20.122859603,28798,2.6963058006,9964,2473
2022-2023,8,15,Laurentides,Total régional,Total régional,,118096,18896,7558,12.318780303,86939,3.9943806897,79087,6791,2600,6.4352781466,48237,4.9450126977,39009,14313,5367,24.24701571,38702,2.8095417621,12105,4958
2022-2023,8,13,Laval,Total régional,Total régional,,58252,9691,3561,9.2484344982,43196,3.2414033257,39028,2839,1061,5.5442282393,24043,4.1745212282,19224,4343,343,16.768605216,19153,2.0700487739,6852,2500
2022-2023,8,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,151252,24082,7774,7.7816000964,115590,3.2297872509,101164,8017,2381,4.8173049729,66325,4.0393684508,50088,8267,1078,13.768661905,49265,2.1398557969,16065,5393
2022-2023,8,06,Montréal,Total régional,Total régional,,540436,72991,37910,11.07900499,437716,2.8577071269,344178,20172,13631,5.9775442568,244351,3.7321970933,196258,54412,18371,20.025445656,193365,1.7526338315,52819,24279
2022-2023,8,16,Montérégie,Total régional,Total régional,,232540,38912,14062,11.578605276,164654,3.6276370686,158777,14056,5790,5.7704278362,91285,4.2651983744,73763,24862,10236,24.080875917,73369,2.8343894598,24856,8272
2022-2023,8,07,Outaouais,Total régional,Total régional,,97501,12136,5442,8.6966010064,72685,2.8923064785,73047,5702,2449,4.3387933948,48719,2.9388600957,24454,6706,3303,21.713889491,23966,2.7976705078,6434,2993
2022-2023,8,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,111914,16338,5435,6.2612926444,94984,2.6669541391,78203,6694,2100,3.8217558754,61829,2.9858521621,33711,3876,585,11.920546121,33155,2.0722581394,9644,3335
2023-2024,8,08,Abitibi-Témiscamingue,Total régional,Total régional,,66765,7978,3538,6.143505858,56766,2.788562192,53830,4437,2495,4.8099061294,43976,3.0756284425,12935,1382,237,11.693383971,12790,1.801539093,3541,1043
2023-2024,8,01,Bas-Saint-Laurent,Total régional,Total régional,,82724,14610,3368,4.6098109913,71881,1.9638713754,61617,7280,1962,3.3035745637,51148,2.1511037197,21107,791,62,8.4230658339,20733,1.5019719904,7330,1406
2023-2024,8,03,Capitale-Nationale,Total régional,Total régional,,234466,40043,12849,7.3156720105,193734,1.9638623921,154840,15531,4592,3.7339506031,114595,2.4380738543,79626,13213,2732,14.28065509,79139,1.2771938404,24512,8257
2023-2024,8,12,Chaudière-Appalaches,Total régional,Total régional,,144020,23297,6133,5.7172436988,125249,1.7774519136,112174,11551,3217,3.3192576587,93442,2.0916386963,31846,5437,897,14.163883341,31807,0.8544399556,11746,2916
2023-2024,8,09,Côte-Nord,Total régional,Total régional,,60587,7146,3304,6.1439175254,48472,2.6375604874,47732,4207,2132,3.8759914208,35906,2.7664923767,12855,2194,766,14.564971498,12566,2.2691514139,2939,1172
2023-2024,8,05,Estrie,Total régional,Total régional,,143974,23472,7721,8.6617603082,118418,3.2941973114,94149,8746,2732,5.313375173,68851,4.2361798142,49825,9926,2195,14.988847355,49567,1.9857373017,14726,4989
2023-2024,8,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,60859,10216,2393,5.2493566322,54102,1.8216191022,48901,6224,1598,3.3409197381,42317,1.9515039005,11958,1867,423,13.053711253,11785,1.3552351388,3992,795
2023-2024,8,14,Lanaudière,Total régional,Total régional,,89423,16067,5573,10.402449836,64377,4.0660193772,59053,5377,2963,6.2655006661,34186,5.120098749,30370,9080,1266,18.446547937,30191,2.872459793,10690,2610
2023-2024,8,15,Laurentides,Total régional,Total régional,,117370,20774,8038,11.851958084,88656,4.0324490791,76566,7688,2524,6.5870413797,48216,5.052999016,40804,13486,4025,21.731225125,40440,2.8156628338,13086,5514
2023-2024,8,13,Laval,Total régional,Total régional,,56008,10781,3495,9.5397001321,43455,2.9925526471,35912,3374,845,5.4023343791,23405,3.8402116357,20096,4341,470,16.933264967,20050,2.0030534636,7407,2650
2023-2024,8,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,146056,25433,7435,7.3222509878,115150,2.972386959,95420,8670,2342,4.5041332763,65373,3.6796061957,50636,6877,658,12.632796687,49777,2.043583633,16763,5093
2023-2024,8,06,Montréal,Total régional,Total régional,,526172,76024,37986,10.969996906,434193,2.6877321241,324258,21804,13126,5.6961162151,234758,3.4823535466,201914,54856,16247,19.439434415,199435,1.7523710496,54220,24860
2023-2024,8,16,Montérégie,Total régional,Total régional,,232410,43322,14081,11.124851037,170757,3.7510252646,149623,15797,5372,6.0397114767,88635,4.4457170637,82787,24510,7822,20.315349984,82122,3.0012382695,27525,8709
2023-2024,8,07,Outaouais,Total régional,Total régional,,95580,12977,5281,9.6626383309,71052,3.4485414008,70525,6113,2271,5.096410863,46633,3.4123098569,25055,7505,3324,22.515689306,24419,3.5177328333,6864,3010
2023-2024,8,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,108678,17411,5681,6.0520107105,93307,2.6410851693,73932,7550,2231,3.7843402421,59165,2.9640758566,34746,2959,197,10.877124769,34142,2.0813715024,9861,3450
2024-2025,8,08,Abitibi-Témiscamingue,Total régional,Total régional,,76204,9307,4078,6.2319589596,63833,3.1940981546,61975,5221,2957,5.0436956434,49772,3.5202175866,14229,1550,190,11.407489146,14061,2.0397267462,4086,1121
2024-2025,8,01,Bas-Saint-Laurent,Total régional,Total régional,,94004,16110,3751,4.7280892007,81189,2.0713425498,72564,8376,2277,3.3758060892,60072,2.2776450667,21440,1279,120,9.3049115749,21117,1.4844691875,7734,1474
2024-2025,8,03,Capitale-Nationale,Total régional,Total régional,,258234,44159,13958,7.2190849718,211768,2.1054183325,172489,17192,5162,3.8880229818,126667,2.5864305445,85745,14307,1996,13.920018573,85101,1.3894646557,26967,8796
2024-2025,8,12,Chaudière-Appalaches,Total régional,Total régional,,156303,25619,6718,6.259219989,135100,2.0521798524,122067,13024,3447,3.6237668225,100926,2.4175799541,34236,6629,1705,15.655816019,34174,0.9730445254,12595,3271
2024-2025,8,09,Côte-Nord,Total régional,Total régional,,66120,8000,3653,6.472780853,52891,3.2143764745,52374,4653,2180,4.6583120866,39492,3.421399735,13746,2068,577,13.386136533,13399,2.6041994013,3347,1473
2024-2025,8,05,Estrie,Total régional,Total régional,,155937,25667,7868,8.784674117,126348,3.789660134,103044,9497,2891,5.9808822364,73853,4.8959953857,52893,9144,1306,14.246907882,52495,2.2332037601,16170,4977
2024-2025,8,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,66961,11257,2565,5.0042240716,58581,2.0554710145,53967,7125,1634,3.5644418657,45793,2.2152745689,12994,1373,198,10.983962897,12788,1.4832248332,4132,931
2024-2025,8,14,Lanaudière,Total régional,Total régional,,98397,17940,6230,10.028991706,72579,3.5273253972,64977,5884,3227,5.7885358665,39327,4.4290226887,33420,9871,1306,18.273518909,33252,2.4608918177,12056,3003
2024-2025,8,15,Laurentides,Total régional,Total régional,,130139,23248,8555,11.705004728,99539,3.8265685477,84860,8536,2730,6.2717825634,54610,4.7797035036,45279,14539,4589,21.887721503,44929,2.6680584552,14712,5825
2024-2025,8,13,Laval,Total régional,Total régional,,58946,11323,3903,10.652122286,45276,3.7998543747,37017,3515,826,6.5310918332,23453,4.889410535,21929,5461,502,17.608581052,21823,2.6289172611,7808,3077
2024-2025,8,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,161301,28898,8193,7.2818441144,126523,3.2099151384,105033,10272,2474,4.8790682452,71314,4.0283303029,56268,6212,408,11.767000116,55209,2.152760344,18626,5719
2024-2025,8,06,Montréal,Total régional,Total régional,,579261,84734,40963,10.736140861,468460,2.7826522453,357496,23806,14117,5.6996540894,249190,3.644958209,221765,57799,16399,18.855203268,219270,1.8026822398,60928,26846
2024-2025,8,16,Montérégie,Total régional,Total régional,,242641,45959,15728,11.420864648,176657,4.0768488134,152043,16219,5721,6.1704043209,87010,4.9417000664,90598,26896,8291,20.232270414,89647,3.2374374832,29740,10007
2024-2025,8,07,Outaouais,Total régional,Total régional,,106616,15017,5954,9.3941063854,79478,4.1913953477,78620,6910,2470,5.5271062495,52460,4.0509137014,27996,7933,2360,20.253641701,27018,4.4641641375,8107,3484
2024-2025,8,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,119725,19296,5699,6.3693536878,101826,2.9516912538,82744,8409,2163,4.1826356896,65487,3.3545928199,36981,3343,208,11.262076817,36339,2.2256169298,10887,3536
2020-2021,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,Total établissement,,63137,10996,2854,3.8796540724,55155,1.3125295833,45470,4971,1710,2.5355067322,37670,1.4507495133,17667,196,0,7.3391197179,17485,1.0147460681,6025,1144
2020-2021,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,Total établissement,,86707,13392,4381,5.1576862499,76649,1.7292980448,56469,5197,1541,2.8351850229,46726,1.944605995,30238,1699,124,9.4949215759,29923,1.3930857906,8195,2840
2020-2021,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,118840,19386,10105,8.9987272336,104146,1.5259798477,67856,5384,2803,3.7327422737,53295,2.0035663915,50984,10445,2537,16.00737064,50851,1.0254395467,14002,7302
2020-2021,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,Total établissement,,52096,6299,1246,3.2703773749,41699,1.318288215,43025,3741,812,2.2851993802,32716,1.4472615591,9071,385,49,7.9432120371,8983,0.8485685307,2558,434
2020-2021,8,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,13776,4138,373,7.5235860071,13149,1.4717186985,6805,1292,211,3.6939644053,6185,1.905274634,6971,481,0,11.262013062,6964,1.0866607633,2846,162
2020-2021,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,Total établissement,,117662,19529,7119,6.0592457397,98346,1.923052313,74528,6000,2459,3.2666535471,55622,2.3442836867,43134,3853,185,10.884356115,42724,1.3746548908,13529,4660
2020-2021,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,Total établissement,,115487,17614,7079,7.3111956492,100028,2.1137644904,71556,5563,2385,3.9832824796,56316,2.6348997275,43931,6206,1128,12.731790554,43712,1.4423641423,12051,4694
2020-2021,8,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Total établissement,,32083,4579,2431,12.331034651,27985,2.1884901138,19053,1296,999,5.8164455,15018,2.9235622808,13030,4866,956,21.856933892,12967,1.3371510372,3283,1432
2020-2021,8,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,Total établissement,,29115,0,838,4.2157942832,27871,1.084297966,19972,0,411,3.4393042343,18814,1.2282565288,9143,17,0,5.9119617619,9057,0.78525453,0,427
2020-2021,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,Total établissement,,71151,7709,3929,9.689415816,65797,1.6409257556,39406,1663,1014,4.6247805749,34338,1.9461134975,31745,6339,1938,15.976296153,31459,1.3078084703,6046,2915
2020-2021,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,55006,11152,6288,13.267269959,47123,2.5549075705,30702,2600,2239,5.042520547,22952,3.4546111934,24304,9267,3027,23.657175179,24171,1.7005781032,8552,4049
2020-2021,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,55461,9063,6310,10.039821797,52080,1.9596942098,35199,2584,2092,4.837661818,31876,2.2776340873,20262,5742,1152,19.076976524,20204,1.4580781171,6479,4218
2020-2021,8,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,38652,7201,2112,8.1398282323,36495,1.1804388272,15244,841,248,3.2616554236,13305,1.3154567205,23408,2402,363,11.316642411,23190,1.1029738393,6360,1864
2020-2021,8,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,39324,5287,4634,11.055326688,35202,1.6596138004,22490,1345,1550,4.1263304679,18864,2.128928117,16834,5614,1615,20.312373437,16338,1.1177393194,3942,3084
2020-2021,8,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,65467,9881,5900,9.4038381296,57339,1.9801707535,44224,3018,2597,4.5391555804,36148,2.5409358978,21243,6217,1509,19.531208137,21191,1.0236071917,6863,3303
2020-2021,8,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,9828,2603,346,8.4883215755,9612,1.1171685856,6171,1173,299,3.1135543042,5957,1.2380328465,3657,985,107,17.557965773,3655,0.9201813345,1430,47
2020-2021,8,07,Outaouais,CISSS DE L'OUTAOUAIS,Total établissement,,77221,10406,4797,7.4678187173,60133,2.2875263444,54301,4425,2087,3.622086574,37572,2.3003417069,22920,4902,1477,16.578948783,22561,2.2661842585,5981,2710
2020-2021,8,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,Total établissement,,53950,6467,3301,4.8367153795,46633,1.8949030253,43480,3576,2455,3.4474155678,36198,2.0834434683,10470,987,110,10.606224053,10435,1.2408745674,2891,846
2020-2021,8,09,Côte-Nord,CISSS DE LA CÔTE-NORD,Total établissement,,46920,5426,2575,5.8570451478,38161,1.885359493,36341,2867,1544,3.1473698746,28191,1.9449659466,10579,1763,820,15.165326564,9970,1.7168173131,2559,1031
2020-2021,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,Total établissement,,37943,6397,1656,4.6914675815,34363,1.2728990969,29257,3484,1123,2.6637210468,25868,1.3641563364,8686,1038,293,11.521513675,8495,0.9950130142,2913,533
2020-2021,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,Total établissement,,6763,769,177,3.423148422,5803,0.7658509487,5490,455,94,1.7614848209,4541,0.8074013923,1273,105,9,10.589317448,1262,0.6163417855,314,83
2020-2021,8,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,Total établissement,,91614,15490,4585,5.4828224883,79438,0.9016736113,63358,5677,2094,2.3982863166,51204,1.0702000549,28256,3273,202,12.399231137,28234,0.5960411108,9813,2491
2020-2021,8,13,Laval,CISSS DE LAVAL,Total établissement,,44381,7778,3149,8.366527493,35485,2.2177562272,28186,2144,939,4.3044467111,19330,2.8228412657,16195,3019,207,15.436228568,16155,1.4937516593,5634,2210
2020-2021,8,14,Lanaudière,CISSS DE LANAUDIÈRE,Total établissement,,70248,10875,4825,8.9645121727,57044,2.4073542986,43117,3017,2313,4.6986838009,30137,3.033887322,27131,5985,563,15.743831841,26907,1.7056103017,7858,2512
2020-2021,8,15,Laurentides,CISSS DES LAURENTIDES,Total établissement,,93930,14166,6910,10.376006497,77806,2.7741048998,58630,4677,2435,5.0496170902,42732,3.4748986643,35300,9183,2777,19.222641368,35074,1.9203009668,9489,4475
2020-2021,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,69002,11690,5751,9.2987244613,53379,2.3298260812,44671,3558,2140,4.0957338094,29101,2.7968427106,24331,6973,1410,18.851262187,24278,1.7700332262,8132,3611
2020-2021,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,71022,12393,4519,9.1243900364,58866,2.1296904552,43609,4232,1716,3.9648877589,31562,2.5542515085,27413,7010,1694,17.33220147,27304,1.6389200199,8161,2803
2020-2021,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,51464,8726,3215,11.023255749,44551,2.1111126075,33954,2541,1631,4.5136363577,27084,2.519832558,17510,5842,2246,23.646192176,17467,1.4773591789,6185,1584
2021-2022,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,Total établissement,,79923,12614,3462,4.1137744906,69433,1.7587521424,60395,6347,2179,3.0197425008,50162,1.9476107357,19528,344,5,7.4973294898,19271,1.2671572714,6267,1283
2021-2022,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,Total établissement,,103380,15168,5163,5.8651784275,88388,2.3524153951,70608,6272,1903,3.4759854525,56134,2.6470040488,32772,3108,331,11.01274762,32254,1.8397211715,8896,3260
2021-2022,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,143983,21811,10860,8.4610599766,120696,1.8282064949,87303,6899,3200,4.11780943,64170,2.4558029453,56680,10827,2107,15.150876534,56526,1.1157402985,14912,7660
